da,Project,LongName,Name,cbo,wmc,dit,rfc,lcom,tcc,lcc,ReuseRate
0,project_lombok,,,3.24990689,6.677467412,1.258472998,3.890130354,14.54934823,-0.216941726,-0.201908255,1730
1,project_mockito-all,,,4.028801072,7.671131949,1.667782987,6.220361688,23.5003349,0.21022253,0.235270888,4908
2,project_mockito-core,,,4.028801072,7.671131949,1.667782987,6.220361688,23.5003349,0.21022253,0.235270888,5537
3,project_powermock-api-mockito,,,4.144166158,9.049480757,1.272449603,7.23579719,27.22357972,0.175890891,0.198141661,451
4,project_powermock-module-junit4,,,3.737963694,4.958168903,1.243883189,5.744277822,22.65745856,0.063169592,0.076978659,506
5,project_reflections,,,2.296460177,4.752212389,1.128318584,5.402654867,13.83628319,-0.571388639,-0.563059769,1242
6,project_spock-core,,,5.397058824,9.274509804,1.460784314,8.232843137,32.32843137,0.271255712,0.311843254,592
7,project_spring-boot-starter-test,,,5.515219693,4.859978825,1.313128639,6.549100053,10.5067496,0.116874397,0.139908383,841
8,project_spring-web,,,5.929969987,7.9537659,1.657210233,8.281620695,31.93340003,0.076261019,0.110251203,555
9,project_testng,,,4.397922078,6.806753247,1.358441558,6.791168831,35.98857143,0.110567099,0.133925586,1327