project,release,maven_reuse,maven_release,totalFieldsQty_sum,uniqueWordsQty_median,privateMethodsQty_sum,mathOperationsQty_sum,modifiers_median,assignmentsQty_median,parenthesizedExpsQty_sum,publicMethodsQty_average,staticMethodsQty_max,loc_average,abstractMethodsQty_median,variablesQty_median,defaultFieldsQty_max,comparisonsQty_sum,totalMethodsQty_median
akka-testkit,2.4.20,258,"Aug, 2017",14,14,1932,955,1,1,6709,5.989256554,53,132.6368715,1,1,10,6899,1
assertj-core,3.11.1,1694,"Aug, 2018",5,30,970,1051,1,1,171,3.856952584,166,25.86867342,3,1,14,737,3
hibernate-core,4.3.11.Final,229,"Aug, 2015",39,24,3644,6680,1,2,4464,4.972700682,88,45.68833279,4,2,29,14121,4
jackson-databind,2.9.8,3232,"Dec, 2018",3,8,405,1151,8,1,1700,2.86298737,71,32.61971444,1,1,20,4736,1
joda-time,2.9.9,1571,"Mar, 2017",5,68,444,4882,1,8,1221,15.32194245,59,163.2697842,9,5,3,2262,9
lombok,1.18.12,1757,"Feb, 2020",6,11,797,1332,1,1,1258,2.492773572,123,42.28561597,2,1,7,3545,2
mysql-connector-java,5.1.38,314,"Dec, 2015",276,32,523,4276,1,2,2612,11.4645799,72,161.9291598,3,1,42,4186,3
okhttp,3.10.0,643,"Feb, 2018",104,19,614,1620,1,2,316,5.847913863,33,73.62314939,2,1,3,1330,2
plexus-utils,3.0.8,342,"Sep, 2012",9,43,182,1092,1,7,441,7.79245283,95,113.3710692,5,6,81,1153,5
powermock-api-easymock,1.6.4,156,"Dec, 2015",173,20.5,405,1036,1,1,449,2.955307263,106,33.40316574,2,1,7,1265,2
powermock-api-mockito,1.6.5,451,"Apr, 2016",173,21,703,2158,1,1,1053,3.178381963,106,41.77055703,2,1,5,2770,2
powermock-core,1.6.4,105,"Dec, 2015",173,20.5,405,1036,1,1,449,2.955307263,106,33.40316574,2,1,7,1265,2
powermock-module-junit4,2.0.2,510,"Apr, 2019",170,16,551,416,1,1,131,2.448303716,112,26.14620355,2,1,3,719,2
spock-core,0.7-groovy-2.0,592,"Oct, 2012",7,21,360,210,1,1,117,3.870098039,30,32.07352941,2,1,12,549,3
spock-spring,0.7-groovy-2.0,18,"Oct, 2012",7,21,360,210,1,1,117,3.870098039,30,32.07352941,2,1,12,549,3
spring-beans,5.1.5.RELEASE,557,"Feb, 2019",61,23,4452,9271,1,1,6822,3.862215801,67,42.12386891,2,1,28,15153,2
spring-boot-autoconfigure,2.1.3.RELEASE,840,"Feb, 2019",13,18,4033,3094,1,1,1469,2.727962716,14,27.60292943,2,1,1,3351,2
spring-boot-configuration-processor,2.1.6.RELEASE,559,"Jun, 2019",14,18,4065,3119,1,1,1484,2.73051991,14,27.68540812,2,1,1,3374,2
spring-boot-starter,2.1.6.RELEASE,568,"Jun, 2019",14,18,4065,3119,1,1,1484,2.73051991,14,27.68540812,2,1,1,3374,2
spring-boot-starter-test,2.1.1.RELEASE,845,"Nov, 2018",13,18,4023,3089,1,1,1474,2.722074114,14,27.58904292,2,1,1,3348,2
spring-boot-starter-web,2.1.3.RELEASE,695,"Feb, 2019",13,18,4033,3094,1,1,1469,2.727962716,14,27.60292943,2,1,1,3351,2
spring-context,5.1.5.RELEASE,799,"Feb, 2019",61,23,4452,9271,1,1,6822,3.862215801,67,42.12386891,2,1,28,15153,2
spring-core,5.1.5.RELEASE,641,"Feb, 2019",61,23,4452,9271,1,1,6822,3.862215801,67,42.12386891,2,1,28,15153,2
spring-test,4.3.18.RELEASE,683,"Jun, 2018",65,20,3390,8783,1,1,6212,3.641301839,66,40.25059629,2,1,28,13896,2
spring-web,5.2.5.RELEASE,555,"Mar, 2020",67,23,5077,9682,1,1,7389,3.524739025,66,41.85621336,2,1,28,15885,2
spring-webmvc,5.2.5.RELEASE,446,"Mar, 2020",67,23,5077,9682,1,1,7389,3.524739025,66,41.85621336,2,1,28,15885,2
testng,6.14.3,1332,"Apr, 2018",12,14.5,914,1837,1,1,392,3.518191268,106,29.4506237,2,1,25,1668,2